Name,Platform,MSRP,Buy Digital,Buy Physical,Demo Available,DLC Available,Publisher,Developer,ESRB,Release Date,No. of Players,Rom File Size,Switch Online Play,Switch Online Save,Switch Online App,Action,Adventure,Application,Arcade,Board Game,Camera,Casual,Communication,Creature Creator,Dance,Education,Edutainment,Fighting,First-Person,Fishing Game,Fitness,Gambling,Hidden Object,Interactive Theme Park,Lifestyle,Mental Training,Multiplayer,Music,Other,Party,Platformer,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy,Trivia,Undefined,Store Link,Official Site,Time Data Retrieved (UTC)
Tesla vs Lovecraft,Nintendo Switch,$14.99,True,,,True,10tons,10tons Ltd,Teen,"Mar 15, 2018",up to 4 players,406 MB,,,,True,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/tesla-vs-lovecraft-switch,http://teslavslovecraft.com/,2019-05-15 08:12:42
Tennis in the Face,Nintendo Switch,$4.99,True,,,,10tons,10tons Ltd,Everyone 10+,"Dec 08, 2017",1 player,51 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,True,,,,https://www.nintendo.com/games/detail/tennis-in-the-face-switch,,2019-05-15 08:12:42
Tennis,Nintendo Switch,$7.99,True,,,,D3Publisher,,Everyone,"Jan 25, 2018",up to 2 players,139 MB,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,,,,https://www.nintendo.com/games/detail/tennis-switch,,2019-05-15 08:12:42
TENGAI for Nintendo Switch,Nintendo Switch,$7.99,True,,,,Zerodiv,,Teen,"Mar 29, 2018",up to 2 players,85 MB,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/tengai-for-nintendo-switch,,2019-05-15 08:12:43
Tanzia,Nintendo Switch,$19.99,True,,,,Arcanity,Arcanity Inc.,Everyone 10+,"Jul 19, 2018",1 player,657 MB,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,https://www.nintendo.com/games/detail/tanzia-switch,,2019-05-15 08:12:43
Tangrams Deluxe,Nintendo Switch,$4.99,True,,,,Vertical Reach,,Everyone,"Sep 27, 2018",1 player,129 MB,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,https://www.nintendo.com/games/detail/tangrams-deluxe-switch,,2019-05-15 08:12:43
Tallowmere,Nintendo Switch,$6.99,True,,,,Teyon,Teyon,Teen,"Nov 09, 2017",up to 4 players,111 MB,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,True,,,,,,,True,,,https://www.nintendo.com/games/detail/tallowmere-switch,http://www.teyon.com/games/tallowmere-switch/,2019-05-15 08:12:44
Tales of the Tiny Planet,Nintendo Switch,$19.99,True,,,,Joindots,"Pixelsplit, Germany",Everyone,"Jan 18, 2018",up to 2 players,200 MB,,,,,,,,,,,,,,,,,,,,,,,,,True,,,True,,True,,,,,,True,,,https://www.nintendo.com/games/detail/tales-of-the-tiny-planet-switch,,2019-05-15 08:12:44
Tactical Mind,Nintendo Switch,$2.99,True,,,,QubicGames,Drageus Games / QubicGames S.A.,Everyone,"Dec 22, 2017",up to 2 players,352 MB,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,True,,,https://www.nintendo.com/games/detail/tactical-mind-switch,,2019-05-15 08:12:44
Tachyon Project,Nintendo Switch,$9.99,True,,,,Eclipse Games,Eclipse Games,Everyone,"Jan 25, 2018",up to 4 players,366 MB,,,,True,True,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/tachyon-project-switch,http://www.eclipse-games.net/tachyon.html,2019-05-15 08:12:44
Syberia 2,Nintendo Switch,$29.99,True,True,,,Microids,Microids,Teen,"Nov 30, 2017",1 player,1.3 GB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,https://www.nintendo.com/games/detail/syberia-2-switch,,2019-05-15 08:12:45
Syberia,Nintendo Switch,$29.99,True,True,,,Microids,Microids,Teen,"Oct 20, 2017",1 player,1.4 GB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,https://www.nintendo.com/games/detail/syberia-switch,,2019-05-15 08:12:45
Sword of the Guardian,Nintendo Switch,$14.99,True,,,,Billy Chan Studio,Billy Chan Studio,Teen,"Sep 18, 2018",up to 3 players,7.9 GB,,,,True,,,True,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/sword-of-the-guardian-switch,,2019-05-15 08:12:45
Swim Out,Nintendo Switch,$5.99,True,,,,Lozange Lab,Lozange Lab,Everyone,"Mar 20, 2018",1 player,116 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,https://www.nintendo.com/games/detail/swim-out-switch,http://www.swim-out.com/,2019-05-15 08:12:45
Sushi Striker: The Way of Sushido,Nintendo Switch,$49.99,True,True,True,,Nintendo,Nintendo,Everyone,"Jun 08, 2018",up to 2 players,2.8 GB,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,https://www.nintendo.com/games/detail/sushi-striker-the-way-of-sushido-switch,https://sushistriker.nintendo.com/,2019-05-15 08:12:46
Survive! MR.CUBE,Nintendo Switch,$14.99,True,,,,Intragames,,Everyone 10+,"Jun 28, 2018",1 player,1.1 GB,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/survive-mr-cube-switch,,2019-05-15 08:12:46
Surgeon Simulator CPR,Nintendo Switch,$12.99,True,,,,Bossa Studios,Bossa Studios,Teen,"Sep 13, 2018",up to 2 players,1.1 GB,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,,True,,,,,https://www.nintendo.com/games/detail/surgeon-simulator-cpr-switch,https://www.surgeonsim.com/,2019-05-15 08:12:46
Superola and the Lost Burgers,Nintendo Switch,$5.99,True,,,,Undergames,,Everyone,"Feb 22, 2018",up to 2 players,416 MB,,,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,https://www.nintendo.com/games/detail/superola-and-the-lost-burgers-switch,,2019-05-15 08:12:46
SUPERBEAT: XONiC,Nintendo Switch,$39.99,True,True,,True,PM Studios,,Teen,"Nov 21, 2017",1 player,7.0 GB,,,,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,https://www.nintendo.com/games/detail/superbeat-xonic-switch,,2019-05-15 08:12:47
Super Volley Blast,Nintendo Switch,$9.99,True,,,,Unfinished Pixel,Unfinished Pixel,Everyone,"Jul 12, 2018",up to 4 players,555 MB,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,,,,https://www.nintendo.com/games/detail/super-volley-blast-switch,,2019-05-15 08:12:47
Super Toy Cars,Nintendo Switch,$9.99,True,,,,Eclipse Games,Eclipse Games,Everyone,"Mar 02, 2018",up to 4 players,613 MB,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,True,,,,https://www.nintendo.com/games/detail/super-toy-cars-switch,http://www.eclipse-games.net/supertoycars.html,2019-05-15 08:12:47
Super Sportmatchen,Nintendo Switch,$14.99,True,,,,DANGEN Entertainment,Kaj Forell Video Game Brand,Everyone,"May 24, 2018",up to 4 players,81 MB,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,https://www.nintendo.com/games/detail/super-sportmatchen-switch,http://dangenentertainment.com/games/super-sportmatchen,2019-05-15 08:12:48
Super Saurio Fly,Nintendo Switch,$15.95,True,,,,FraxelGames,FraxelGames S.L,Everyone,"Apr 28, 2018",1 player,3.2 GB,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,https://www.nintendo.com/games/detail/super-saurio-fly-switch,,2019-05-15 08:12:48
Super Rocket Shootout,Nintendo Switch,$9.99,True,,,,Plug In Digital,Oddly Shaped Pixels,Teen,"Apr 05, 2018",up to 4 players,318 MB,,,,True,,,,,,,,,,,,True,True,,,,,,,,,,,True,True,,,,,,,,,,https://www.nintendo.com/games/detail/super-rocket-shootout-switch,,2019-05-15 08:12:48
Super Rock Blasters!,Nintendo Switch,$13.99,True,,,,QuadraTron Games,QuadraTron Games,Everyone,"Jul 05, 2018",up to 4 players,109 MB,,,,True,,,True,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/super-rock-blasters-switch,,2019-05-15 08:12:48
Super Putty Squad,Nintendo Switch,$19.99,True,,,,System 3 Software,System 3 Software Ltd,Everyone 10+,"Nov 08, 2017",1 player,1.4 GB,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,https://www.nintendo.com/games/detail/super-putty-squad-switch,,2019-05-15 08:12:49
