Name,Platform,MSRP,Sale Price,Buy Digital,Buy Physical,Demo Available,DLC,Publisher,Developer,ESRB,Release Date,No. of Players,Rom File Size,Switch Online Play,Switch Online Save,Switch Online App,Action,Adventure,Application,Education,First-Person,Fitness,Music,Party,Puzzle,Racing,Role-Playing,Simulation,Sports,Strategy,M,u,l,t,i,p,l,a,y,e,r,Store Link,Official Site,Time Data Retrieved (UTC)
Cube Creator DX,Nintendo 3DS,$11.99,,True,,,,Big John Games,Big John Games,Everyone 10+,"Nov 08, 2018",up to 4 players,510 Blocks,,,,True,True,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/cube-creator-dx-3ds,,2019-05-15 01:29:16
Insect Planet TD,Nintendo 3DS,$2.99,,True,,,,RandomSpin,RandomSpin,Everyone 10+,"Oct 25, 2018",1 player,260 Blocks,,,,,,,,,,,,True,,,,,True,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/insect-planet-td-3ds,,2019-05-15 01:29:17
Petite Zombies,Nintendo 3DS,$0.99,,True,,,,RandomSpin,RandomSpin,Everyone 10+,"Oct 18, 2018",1 player,227 Blocks,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/petite-zombies-3ds,,2019-05-15 01:29:17
Triple Breakout,Nintendo 3DS,,,True,,,,nuGAME,nuGAME,Everyone,"Oct 11, 2018",1 player,457 Blocks,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/triple-breakout-3ds,,2019-05-15 01:29:18
The Legend of Zelda: Breath of the Wild,Wii U,$59.99,,True,True,,,Nintendo,Nintendo,Everyone 10+,"Mar 02, 2017",1 player,,,,,True,True,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/the-legend-of-zelda-breath-of-the-wild-wii-u,http://www.zelda.com/breath-of-the-wild,2019-05-15 01:29:19
Shovel Knight: King of Cards,Wii U,,,,,,,Yacht Club Games,Yacht Club Games,Everyone,2019,1 player,,,,,True,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/shovel-knight-king-of-cards-wii-u,http://www.shovelknight.com,2019-05-15 01:29:19
El Silla - Arcade Edition,Wii U,$1.00,,True,,,,Markanime Studios,Markanime Studios,Everyone,"Apr 15, 2019",1 player,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/el-silla-arcade-edition-wii-u,http://www.elsilla.com,2019-05-15 01:29:20
PixelMaker Studio,Wii U,$9.99,,True,,,,Undefined,Undefined,Everyone,"Mar 21, 2019",1 player,,,,,,,,True,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/pixelmaker-studio-wii-u,,2019-05-15 01:29:21
Sinister Assistant,Wii U,$3.99,,True,,,,Ultra Dolphin Revolution,Ultra Dolphin Rev,Everyone,"Feb 14, 2019",1 player,,,,,True,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/sinister-assistant-wii-u,,2019-05-15 01:29:21
Azure Snake,Wii U,$0.99,,True,,,,RandomSpin,RandomSpin,Everyone,"Jan 24, 2019",1 player,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/azure-snake-wii-u,,2019-05-15 01:29:22
Call of Nightmare,Wii U,$0.99,,True,,,,RandomSpin,Nightmare Games,Teen,"Dec 06, 2018",1 player,,,,,True,True,,,True,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/call-of-nightmare-wii-u,,2019-05-15 01:29:23
Just Dance 2019,Wii U,$39.99,,True,True,,,Ubisoft,,Everyone,"Oct 23, 2018",up to 6 players,,,,,,,,,,,True,True,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/just-dance-2019-wii-u,,2019-05-15 01:29:23
Masked Forces,Wii U,$2.99,,True,,,,R.G.B.,R.G.B. SRL,Mature,"May 31, 2018",1 player,,,,,True,,,,True,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/masked-forces-wii-u,,2019-05-15 01:29:24
Rainbow Snake,Wii U,$0.99,,True,,,,RandomSpin,RandomSpin,Everyone,"May 03, 2018",1 player,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/rainbow-snake-wii-u,,2019-05-15 01:29:25
Aqua Moto Racing Utopia,Wii U,$9.99,,True,,,,Zordix AB,Zordix,Everyone,"Apr 19, 2018",up to 4 players,,,,,True,,,,,,,,,True,,True,True,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/aqua-moto-racing-utopia-wii-u,,2019-05-15 01:29:25
Shadow Archery,Wii U,,,True,,,,Ultra Dolphin Revolution,Ultra Dolphin Rev,Everyone,"Apr 12, 2018",1 player,,,,,True,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/shadow-archery-wii-u,,2019-05-15 01:29:26
Spellcaster's Assistant,Wii U,$3.99,,True,,,,Ultra Dolphin Revolution,Ultra Dolphin Rev,Everyone,"Mar 29, 2018",1 player,,,,,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/spellcasters-assistant-wii-u,,2019-05-15 01:29:27
RTO 2,Wii U,$9.99,,True,,,,nuGAME,nuGAME,Everyone 10+,"Mar 01, 2018",1 player,,,,,True,,,,True,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/rto-2-wii-u,,2019-05-15 01:29:27
Fat Dragons,Wii U,$0.99,,True,,,,Undefined,Undefined,Everyone,"Feb 22, 2018",1 player,,,,,True,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/fat-dragons-wii-u,,2019-05-15 01:29:28
Aperion Cyberstorm,Wii U,$13.49,,True,,,,aPriori Digital,aPriori Digital,Everyone 10+,"Feb 08, 2018",up to 5 players,,,,,True,,,,True,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/aperion-cyberstorm-wii-u,https://aprioridigital.com/aperion-cyberstorm,2019-05-15 01:29:29
IMAGEFIGHT 2,Wii U,$7.99,,True,,,,Konami,,Everyone,"Feb 08, 2018",1 player,,,,,True,,,,True,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/imagefight-2-wii-u,,2019-05-15 01:29:29
IMAGEFIGHT,Wii U,$5.99,,True,,,,Konami,,Everyone,"Feb 08, 2018",1 player,,,,,True,,,,True,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/imagefight-wii-u,,2019-05-15 01:29:30
Battle Chopper,Wii U,$5.99,,True,,,,Konami,,Everyone,"Feb 01, 2018",1 player,,,,,True,,,,True,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/battle-chopper-wii-u,,2019-05-15 01:29:30
Toon War,Wii U,$9.99,,True,,,,Lemondo Games,Lemondo Games,Teen,"Feb 01, 2018",up to 2 players,,,,,True,True,,,True,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/toon-war-wii-u,https://www.toonwar-game.com/,2019-05-15 01:29:31
NECROMANCER,Wii U,$5.99,,True,,,,Konami,,Teen,"Feb 01, 2018",1 player,,,,,,True,,,,,,,,,True,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/necromancer-wii-u,,2019-05-15 01:29:32
Jolt Family Robot Racer,Wii U,$5.99,,True,,,,Cooply,Cooply Solutions Ltd,Everyone,"Jan 11, 2018",up to 4 players,,,,,,,,,,,,True,,True,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/jolt-family-robot-racer-wii-u,,2019-05-15 01:29:32
RTO,Wii U,$9.99,,True,,,,nuGAME,nuGAME,Everyone 10+,"Dec 07, 2017",1 player,,,,,True,,,,True,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/rto-wii-u,,2019-05-15 01:29:33
Bomberman '93,Wii U,$5.99,,True,,,,Konami,,Everyone,"Nov 30, 2017",up to 5 players,,,,,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/bomberman-93-wii-u,,2019-05-15 01:29:34
BATTLE LODE RUNNER,Wii U,$5.99,,True,,,,Kaasa solution  GmbH,,Everyone,"Nov 30, 2017",up to 5 players,,,,,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/battle-lode-runner-wii-u,,2019-05-15 01:29:35
Dragalia Lost,iOS,$0.00,,True,,,,Nintendo,Nintendo / Cygames,Teen,"Sep 27, 2018",1 player,,,,,True,,,,,,,,,,True,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/dragalia-lost-ios,https://dragalialost.com/en/,2019-05-15 01:29:35
Animal Crossing: Pocket Camp,iOS,$0.00,,True,,,,Nintendo,,Everyone,"Nov 22, 2017",1 player,,,,,,,,,,,,,,,,True,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/animal-crossing-pocket-camp-ios,https://events.ac-pocketcamp.com/en-US/notify_me,2019-05-15 01:29:36
SUPER MARIO RUN,iOS,$9.99,,True,,,,Nintendo,,,"Dec 15, 2016",1 player,,,,,True,True,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/super-mario-run-ios,https://supermariorun.com/,2019-05-15 01:29:36
Nintendo Switch Online,iOS,,,True,,,,Nintendo,,,"Jul 21, 2017",1 player,,,,,,,True,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/nintendo-switch-online-ios,,2019-05-15 01:29:37
Nintendo Switch Parental Controls,iOS,$0.00,,True,,,,Nintendo,,,"Mar 02, 2017",1 player,,,,,,,True,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/nintendo-switch-parental-controls-ios,,2019-05-15 01:29:38
Fire Emblem Heroes,iOS,$0.00,,True,,,,Nintendo,Intelligent Systems,Teen,"Feb 02, 2017",1 player,,,,,,,,,,,,,,,True,True,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/fire-emblem-heroes-ios,https://fire-emblem-heroes.com/en/,2019-05-15 01:29:38
Miitomo,iOS,$0.00,,,,,,Nintendo,,Everyone,"Mar 31, 2016",1 player,,,,,,,,,,,,,,,,True,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/miitomo-ios,,2019-05-15 01:29:39
